id	sign_name	sign_reading	preferred_reading	period_id	provenience_id	language_id	meaning
142	IGI	bat5	1	NULL	NULL	NULL	
143	BAD	be	1	NULL	NULL	NULL	
144	BI	be2	1	NULL	NULL	NULL	
145	PI	be6	1	NULL	NULL	NULL	
146	NE	be7	1	NULL	NULL	NULL	
147	BI	bi	1	NULL	NULL	NULL	poss. suffix neutral
148	NE	bi2	1	NULL	NULL	NULL	verbal prefix
149	PI	bi3	1	NULL	NULL	NULL	
150	KU	bi7	1	NULL	NULL	NULL	n. dung, excrements
151	NE	bil	1	NULL	NULL	NULL	v. to burn; to roast
152	BIL2	bil2	1	NULL	NULL	NULL	v. to heat, to burn
153	BIL3	bil3	1	NULL	NULL	NULL	v. to sprout, shoot 
154	BIL4	bil4	1	NULL	NULL	NULL	
155	BIR	bir	1	NULL	NULL	NULL	to scatter, mix
156	UD	bir2	1	NULL	NULL	NULL	adj. shreviled; v. to wrinkle
157	ERIM	bir3	1	NULL	NULL	NULL	n. yoke, team
158	EDIN	bir4	1	NULL	NULL	NULL	
159	NAM	bir5	1	NULL	NULL	NULL	n. locust; adj. luminosity; ; v. to shine
160	|SZIMxNIG2|	birx	1	NULL	NULL	NULL	
161	GIR	bisz	1	NULL	NULL	NULL	
162	E2	bit	1	NULL	NULL	NULL	
163	BU	bu	1	NULL	NULL	NULL	v. to tear out
164	BULUG3	bu10	1	NULL	NULL	NULL	n. a wooden object
165	BUN2	bu13	1	NULL	NULL	NULL	
166	KASKAL	bu2	1	NULL	NULL	NULL	
167	PU3	bu3	1	NULL	NULL	NULL	
168	TUL2	bu4	1	NULL	NULL	NULL	
169	BUL	bu5	1	NULL	NULL	NULL	to rush around (cf., bul).
170	KU	bu7	1	NULL	NULL	NULL	
171	SUG	bugin	1	NULL	NULL	NULL	n. bucket, trough
172	BUL	bul	1	NULL	NULL	NULL	
173	ZAR	bul5	1	NULL	NULL	NULL	n. a kind of fish
174	BULUG	bulug	1	NULL	NULL	NULL	n. chisel, needle, latch
175	BULUG3	bulug3	1	NULL	NULL	NULL	n. pupil, novice, foster child 
176	NAGAR	bulug4	1	NULL	NULL	NULL	n. chisel, needle, latch
177	|SZIMxNIG2|	bulugx	1	NULL	NULL	NULL	n. brewer
178	BALAG	bum2	1	NULL	NULL	NULL	
179	BUN	bun	1	NULL	NULL	NULL	
180	BUN2	bun2	1	NULL	NULL	NULL	
181	BUR	bur	1	NULL	NULL	NULL	n. stone bowl
182	BUR2	bur2	1	NULL	NULL	NULL	v. to dissolve, resolve
183	U	bur3	1	NULL	NULL	NULL	tt. 18 iku; n. hole, depth; v. to pierce
184	|UD.KIB.NUN|	buranun	1	NULL	NULL	NULL	gn. Euphrates river
185	|UD.NUN.KIB|	buranunx	1	NULL	NULL	NULL	gn. Euphrates river
186	BURU14	buru14	1	NULL	NULL	NULL	n. harvest
187	|SZIR.BUR|	buru4	1	NULL	NULL	NULL	n. swarming birds or insects
188	BURU5	buru5	1	NULL	NULL	NULL	n. sparrow
189	TUL2	burx	1	NULL	NULL	NULL	
190	DA	da	1	NULL	NULL	NULL	n. arm, side; postposition commitative
191	GAG	da3	1	NULL	NULL	NULL	
192	URUDU	da5	1	NULL	NULL	NULL	vi. commitative
193	TAG	da6	1	NULL	NULL	NULL	
194	DIB	dab	1	NULL	NULL	NULL	
195	KU	dab5	1	NULL	NULL	NULL	v. to grasp, tt. to assume administrative control
196	URUDU	dab6	1	NULL	NULL	NULL	vi. commitative neutral
197	|SZE3.SZE|	dabin	1	NULL	NULL	NULL	n. flour
198	|LAGABx(BAD&BAD)|	dabx	1	NULL	NULL	NULL	
199	|LAGABxGU4|	dabx	1	NULL	NULL	NULL	
200	U8	dabx	1	NULL	NULL	NULL	
201	|UD.UD|	dadag	1	NULL	NULL	NULL	adj. shining
202	DAG	dag	1	NULL	NULL	NULL	n. resting-place, dwelling; v. to roam about
203	UD	dag2	1	NULL	NULL	NULL	adj. shining
204	KIB	dag3	1	NULL	NULL	NULL	
205	AMA	dagal	1	NULL	NULL	NULL	n. width, breadth; v. to widen, enlarge; adj. wide, broad
206	KWU844	dagx	1	NULL	NULL	NULL	n. resting-place, dwelling; v. to roam about
207	DAH	dah	1	NULL	NULL	NULL	v. to add
208	RI	dal	1	NULL	NULL	NULL	v., to fly
209	|IGI.GAG|	dala2	1	NULL	NULL	NULL	n. spear; arrow head
210	IDIGNA	dalla	1	NULL	NULL	NULL	n. beam, ray; v. to be or make bright, to shine
211	DAM	dam	1	NULL	NULL	NULL	spouse (husband or wife)
212	KAL	dan	1	NULL	NULL	NULL	
213	|GA2xKID2|	dan3	1	NULL	NULL	NULL	
214	|USZxKID2|	dan6	1	NULL	NULL	NULL	v. to clean
215	|KASKAL.BU|	danna	1	NULL	NULL	NULL	n. road; tt. 1800 ninda
216	DAR	dar	1	NULL	NULL	NULL	n., black francolin?; v. to split
217	IB	dara2	1	NULL	NULL	NULL	n. string of fish; girdle
218	DAR3	dara3	1	NULL	NULL	NULL	n. ibex
219	DARA4	dara4	1	NULL	NULL	NULL	adj. red
220	DI	de	1	NULL	NULL	NULL	
221	DE2	de2	1	NULL	NULL	NULL	v. to pour
222	NE	de3	1	NULL	NULL	NULL	n. torch, ashes
223	TE	de4	1	NULL	NULL	NULL	
224	RI	de5	1	NULL	NULL	NULL	
225	DU	de6	1	NULL	NULL	NULL	v. (hamtu) to transport
226	TI	de9	1	NULL	NULL	NULL	
227	BAD	dehi	1	NULL	NULL	NULL	
228	DI	di	1	NULL	NULL	NULL	n. lawsuit, case; judgment, decision, verdict; v. to judge, decide, maru, non-finite of du11 to speak
229	HI	di2	1	NULL	NULL	NULL	
230	TI	di3	1	NULL	NULL	NULL	
231	TUR	di4	1	NULL	NULL	NULL	
232	DIB	dib	1	NULL	NULL	NULL	v. to cross by
233	|LAGABx(DISZ+(BAD&BAD))|	dibx	1	NULL	NULL	NULL	v. to cross by
