@prefix tcl8

tcl8:e~a	F1000
o0001921	F12E2
o0001927	F12E3
o0001923	F12E4
o0001925	F12E5
o0021765	F12E6
o0002002	F12E7
o0002003	F12E8
o0002005	F12E9
o0002004	F12EA
o0027736	F12EB
o0002006	F12EC
o0002007	F12ED
o0036556	F12EE
o0001990	F12EF
o0001992	F12F0
o0001991	F12F1
o0001993	F12F2
o0001995	F12F3
o0001994	F12F4
o0037817	F12F5
o0001996	F12F6
o0001997	F12F7
o0002000	F12F8
o0001999	F12F9
o0001998	F12FA
o0002001	F12FB
o0031615	F12FC
o0002008	F12FD
o0002009	F12FE
o0002010	F12FF
o0002012	F1300
o0002013	F1301
o0002014	F1302
o0031569	F1303
o0002017	F1304
o0002018	F1305
o0002019	F1306
o0002029	F1307
o0031676	F1308
o0002031	F1309
o0002023	F130A
o0002020	F130B
o0002038	F130C
o0002037	F130D
o0002036	F130E
o0002039	F130F
o0002040	F1310
o0002041	F1311
o0221946	F1312
o0023068	F1313
o0027803	F1314
o0002043	F1315
o0002042	F1316
o0002045	F1317
o0002047	F1318
o0027474	F1319
o0027472	F131A
o0002051	F131B
o0002064	F131C
o0002053	F131D
o0002054	F131E
o0002055	F131F
o0002059	F1320
o0002058	F1321
o0002060	F1322
o0002061	F1323
o0002062	F1324
o0002065	F1325
o0002066	F1326
o0002067	F1327
o0002068	F1328
o0002069	F1329
o0002072	F132A
o0002073	F132B
o0002074	F132C
o0002075	F132D
o0002076	F132E
o0002077	F132F
o0002078	F1330
o0027943	F1331
o0031677	F1332
o0002100	F1333
o0031679	F1334
o0028043	F1335
o0002165	F1336
o0002164	F1337
o0002167	F1338
o0031821	F1339
o0002125	F133A
o0027491	F133B
o0002137	F133C
o0002132	F133D
o0027806	F133E
o0002136	F133F
o0028045	F1340
o0002139	F1341
o0002140	F1342
o0002141	F1343
o0002142	F1344
o0002143	F1345
o0018542	F1346
o0002144	F1347
o0027810	F1348
o0027808	F1349
o0002156	F134A
o0002157	F134B
o0025709	F134C
o0002158	F134D
o0002160	F134E
o0002159	F134F
o0018843	F1350
o0027812	F1351
o0027523	F1352
o0000494	F1353
o0000496	F1354
o0002170	F1355
o0002171	F1356
o0021446	F1357
o0002173	F1358
o0002174	F1359
o0002172	F135A
o0002179	F135B
o0002176	F135C
o0002177	F135D
o0221947	F135E
o0018581	F135F
o0002178	F1360
o0002181	F1361
o0002180	F1362
o0002183	F1363
o0002182	F1364
o0002188	F1365
o0002184	F1366
o0002187	F1367
o0002189	F1368
o0002192	F1369
o0002191	F136A
o0002193	F136B
o0002194	F136C
o0002195	F136D
o0002198	F136E
o0002196	F136F
o0002199	F1370
o0002197	F1371
o0002200	F1372
o0002201	F1373
o0022996	F1374
o0031808	F1375
o0050036	F1376
o0018520	F1377
o0187969	F1378
o0002203	F1379
o0002202	F137A
o0002213	F137B
o0002214	F137C
o0002204	F137D
o0002207	F137E
o0002206	F137F
o0002205	F1380
o0002208	F1381
o0002209	F1382
o0002211	F1383
o0002212	F1384
o0002216	F1385
o0245335	F1386
o0002218	F1387
o0002219	F1388
o0019052	F1389
o0002221	F138A
o0002222	F138B
o0002224	F138C
o0002223	F138D
o0023072	F138E
o0002225	F138F
o0002226	F1390
o0002227	F1391
o0002231	F1392
o0002228	F1393
o0002232	F1394
o0002233	F1395
o0002234	F1396
o0002236	F1397
o0002238	F1398
o0002237	F1399
o0002241	F139A
o0027638	F139B
o0002255	F139C
o0002256	F139D
o0002257	F139E
o0002258	F139F
o0002259	F13A0
o0002260	F13A1
o0002261	F13A2
o0002262	F13A3
o0002264	F13A4
o0002265	F13A5
o0002266	F13A6
o0031681	F13A7
o0002267	F13A8
o0002268	F13A9
o0002269	F13AA
o0002278	F13AB
o0031683	F13AC
o0031685	F13AD
o0002294	F13AE
o0002295	F13AF
o0002296	F13B0
o0027643	F13B1
o0002297	F13B2
o0002298	F13B3
o0002299	F13B4
o0002300	F13B5
o0002301	F13B6
o0187970	F13B7
o0002302	F13B8
o0027813	F13B9
o0002303	F13BA
o0002304	F13BB
o0002306	F13BC
o0002311	F13BD
o0002307	F13BE
o0002308	F13BF
o0002310	F13C0
o0002312	F13C1
o0002313	F13C2
o0187976	F13C3
o0031522	F13C4
o0002315	F13C5
o0002316	F13C6
o0002317	F13C7
o0031597	F13C8
o0002318	F13C9
o0002319	F13CA
o0002321	F13CB
o0002322	F13CC
o0221948	F13CD
o0023003	F13CE
o0002326	F13CF
o0002325	F13D0
o0002327	F13D1
o0002333	F13D2
o0002328	F13D3
o0002331	F13D4
o0027815	F13D5
o0023004	F13D6
o0023006	F13D7
o0002334	F13D8
o0002337	F13D9
o0002336	F13DA
o0152707	F13DB
o0002340	F13DC
o0002339	F13DD
o0002341	F13DE
o0002342	F13DF
o0002343	F13E0
o0002345	F13E1
o0002346	F13E2
o0002347	F13E3
o0002348	F13E4
o0002349	F13E5
o0002350	F13E6
o0028052	F13E7
o0028054	F13E8
o0002353	F13E9
o0002352	F13EA
o0002354	F13EB
o0002356	F13EC
o0002357	F13ED
o0002358	F13EE
o0002359	F13EF
o0002364	F13F0
o0002368	F13F1
o0002369	F13F2
o0031669	F13F3
o0002372	F13F4
o0002371	F13F5
o0027923	F13F6
o0002374	F13F7
o0002366	F13F8
o0031687	F13F9
o0002378	F13FA
o0002379	F13FB
o0002380	F13FC
o0031696	F13FD
o0002683	F13FE
o0002684	F13FF
o0002685	F1400
o0002686	F1401
o0002687	F1402
o0002688	F1403
o0002689	F1404
o0002690	F1405
o0002691	F1406
o0002692	F1407
o0002693	F1408
o0002704	F1409
o0023023	F140A
o0023024	F140B
o0221956	F140C
o0221957	F140D
o0221958	F140E
o0002711	F140F
o0023025	F1410
o0028076	F1411
o0223489	F1412
o0018555	F1413
o0002713	F1414
o0002715	F1415
o0002716	F1416
o0027898	F1417
o0002717	F1418
o0002719	F1419
o0002718	F141A
o0002720	F141B
o0002722	F141C
o0002724	F141D
o0027835	F141E
o0000637	F141F
o0221925	F1420
o0031700	F1421
o0002727	F1422
o0245337	F1423
o0002728	F1424
o0002730	F1425
o0002731	F1426
o0002732	F1427
o0002729	F1428
o0002706	F1429
o0221954	F142A
o0221924	F142B
o0002707	F142C
o0221923	F142D
o0221955	F142E
o0221881	F142F
o0027758	F1430
o0002734	F1431
o0002736	F1432
o0002735	F1433
o0002737	F1434
o0002738	F1435
o0002740	F1436
o0002739	F1437
o0002741	F1438
o0221910	F1439
o0002742	F143A
o0002745	F143B
o0002746	F143C
o0002747	F143D
o0031702	F143E
o0028083	F143F
o0031636	F1440
o0221959	F1441
o0002760	F1442
o0002761	F1443
o0023026	F1444
o0002762	F1445
o0028087	F1446
o0023027	F1447
o0002763	F1448
o0002765	F1449
o0002766	F144A
o0037995	F144B
o0002767	F144C
o0002770	F144D
o0002768	F144E
o0002769	F144F
o0002771	F1450
o0002772	F1451
o0002780	F1452
o0002774	F1453
o0002775	F1454
o0002777	F1455
