o0001865	12502
o0001866	12503
o0001867	12505
o0001868	12506
o0001870	12507
o0001871	12508
o0001874	12509
o0001872	1250A
o0001873	1250B
o0000405	1250C
o0001877	1250E
o0001878	1250F
o0001879	12511
o0001882	12512
o0001875	12513
o0001876	12514
o0001883	12515
o0000411	12517
o0000415	12518
o0000418	124DD
o0001886	124DE
o0000421	124DF
o0000422	121F2
o0000423	121F3
o0000424	121F4
o0001906	121F5
o0001904	121F6
o0000425	121F7
o0000426	121F8
o0000427	1243C
o0000428	1243E
o0000429	1243F
o0000430	121F9
o0000431	121FA
o0000433	121FB
o0001928	121FC
o0000439	121FD
o0001953	12213
o0001964	121FE
o0001967	121FF
o0001968	1251A
o0001971	12200
o0021745	1238A
o0001970	12201
o0001973	12202
o0001974	1251B
o0001975	12203
o0001976	12204
o0001977	12205
o0001958	12207
o0001979	12208
o0001959	12209
o0001980	1220A
o0001960	1220B
o0001981	1220C
o0001982	1220D
o0001983	1251C
o0001961	1251D
o0001962	1220E
o0001963	1220F
o0001987	1238B
o0001984	1251E
o0001985	12210
o0000443	12216
o0001955	12519
o0000440	12215
o0001957	12389
o0000441	12211
o0000434	12217
o0001912	12218
o0000435	1221A
o0000436	1221B
o0000437	1221C
o0000438	1221D
o0001926	1221E
o0001924	1221F
o0000444	12220
o0000445	12222
o0001989	12221
o0000452	12223
o0000446	12224
o0000448	12225
o0000449	12226
o0000451	12227
o0000453	12228
o0002011	1238C
o0000454	12229
o0000455	1222A
o0002015	1251F
o0000456	1222B
o0000457	1222C
o0002016	1222D
o0000458	1222E
o0000459	1222F
o0000460	12230
o0000461	12231
o0000463	12232
o0002032	12233
o0002033	12234
o0002035	12235
o0002024	12236
o0002025	12237
o0000628	12520
o0000629	12521
o0002021	12238
o0000466	12239
o0000467	1223D
o0000469	1223E
o0000476	1223F
o0000470	12240
o0002052	12243
o0002057	12242
o0000471	12241
o0000473	12244
o0000474	12246
o0000475	12247
o0000477	12248
o0002070	12249
o0002071	1224A
o0000478	1224B
o0000479	1224C
o0002079	1238E
o0002120	1224D
o0000486	1224E
o0000480	12457
o0000481	12456
o0000482	1224F
o0002081	12250
o0002080	12251
o0000483	12252
o0002095	12253
o0002096	12254
o0002083	12255
o0002097	12391
o0002098	12522
o0023070	12392
o0002101	12523
o0002102	12256
o0002103	12524
o0002104	12525
o0002105	12526
o0002106	12527
o0002107	12528
o0002085	12257
o0002109	12258
o0002111	12259
o0002086	12529
o0002118	1225A
o0002093	1225C
o0002094	1225D
o0002113	1252A
o0002087	1252B
o0002088	1225E
o0002112	1252C
o0002114	1225F
o0000485	12260
o0000487	12261
o0000491	12262
o0002163	122D5
o0000492	12393
o0000488	12263
o0002126	12264
o0002129	12266
o0000630	12267
o0002130	12268
o0002123	1226A
o0002122	1226B
o0002121	1226C
o0000489	12269
o0000490	1226D
o0002146	1226E
o0002147	1226F
o0002148	12270
o0002149	12271
o0002150	12272
o0002151	12273
o0002152	12274
o0002153	12275
o0002154	12276
o0002155	12277
o0002162	12278
o0002161	12279
o0000505	12470
o0000506	12471
o0000507	12472
o0000508	12473
o0000509	12474
o0000497	1227A
o0000498	1227B
o0000499	1227C
o0000500	1227D
o0000501	1227E
o0032007	12394
o0000502	1227F
o0002247	12280
o0002246	12281
o0002248	12282
o0002249	12283
o0002250	12284
o0002252	12285
o0002251	12286
o0002253	12287
o0002254	12288
o0002235	12289
o0032009	12395
o0000503	1228A
o0002242	1228E
o0002243	1228B
o0002244	1228C
o0002245	1228D
o0000510	1228F
o0000511	12290
o0000514	12291
o0000516	12292
o0000517	12293
o0000518	12295
o0002272	12296
o0002274	12297
o0002273	12298
o0002276	1252E
o0002277	12299
o0032027	12396
o0002279	1229A
o0002280	1229B
o0002281	1229C
o0002282	1229D
o0002283	1229E
o0002284	1229F
o0002293	122A0
o0002286	12530
o0002285	12539
o0002292	122A2
o0002287	122A3
o0002288	122A4
o0002289	122A5
o0002291	122A6
o0002263	122A7
o0000519	122A8
o0002271	1252D
o0000520	12294
o0000522	122A9
o0002305	12390
o0002309	122AA
o0002323	1238F
o0000523	122AB
o0000524	122AC
o0002335	12535
o0000525	122DB
o0002365	12538
o0000526	122DC
o0000527	122DD
o0000528	122DE
o0002344	122DF
o0000529	122E0
o0000530	122E1
o0000531	122E2
o0002367	122E3
o0000532	122E4
o0000534	122E5
o0000535	122E6
o0000536	122E7
o0000537	122E8
o0000539	122E9
o0000540	122EA
o0002824	122AD
o0002828	122AE
o0002695	122AF
o0002696	122B0
o0002697	122B1
o0002698	122B2
o0002703	122B3
o0002701	122B4
o0002702	122B5
o0002694	122B6
o0002829	122B7
o0002830	12531
o0002825	122B8
o0002826	1245B
o0002827	122B9
o0002681	12432
o0002682	12433
o0028114	12136
o0000019	12423
o0000032	12424
o0000033	12425
o0000046	12426
o0000058	12427
o0000065	12428
o0000073	12429
o0000078	1242A
o0000086	1242B
o0000008	1242C
o0000018	1242D
o0000030	1242E
o0000031	1242F
o0000045	12430
o0000057	12431
o0002831	122BA
o0002714	122BB
o0002726	12301
o0000640	12302
o0000639	12303
o0000635	12304
o0002709	12532
o0002705	122BC
o0000634	12533
o0002708	122BD
o0002832	122BE
o0002833	122BF
o0002834	122C0
o0002836	122C1
o0002835	122C2
o0002837	122C3
o0002743	122C4
o0002744	122C5
o0002838	122C6
o0002748	122C7
o0002749	122C8
o0002750	122C9
o0002751	122CA
o0002752	122CB
o0002754	122CC
o0002753	122CD
o0002755	122CE
o0002756	122CF
o0002757	122D0
o0002759	122D1
o0002839	122D2
o0002840	122D3
o0002842	122D6
o0002845	122D7
o0002764	122D8
o0002850	122D9
o0002815	12536
o0002807	12537
o0002848	122DA
o0002849	1245A
o0000541	122EB
o0002407	122ED
o0002408	122EE
o0000542	122EF
o0000543	122EC
o0000544	122F0
o0002382	122F1
o0000546	122F3
o0002395	122F4
o0002396	122F5
o0002400	122F6
o0002401	122F7
o0002398	122F8
o0002399	122F9
o0000547	122FA
o0000548	122FB
o0000550	122FC
o0000551	122FD
o0000553	122FE
o0000554	122FF
o0027220	12397
o0000555	12300
o0000556	12305
o0000557	12306
o0000558	12307
o0000559	12308
o0002428	1253B
o0002429	1253A
o0000560	12309
o0002431	1230A
o0000561	1230B
o0002459	1230C
o0002475	12399
o0002471	1230D
o0002441	1230E
o0002442	1230F
o0002444	12310
o0000562	12434
o0000599	12311
o0000043	1240F
o0031993	12469
o0000044	12467
o0000056	12468
o0000055	12410
o0031995	1246A
o0031997	1246B
o0000064	12411
o0031999	1246C
o0000072	12412
o0000077	12413
o0032001	1246D
o0032003	1246E
o0000085	12414
o0000564	12312
o0000565	12313
o0002500	12314
o0002521	12315
o0002522	12316
o0002520	12317
o0002519	12318
o0000567	12319
o0000569	1231A
o0002516	1231B
o0000570	1231C
o0000571	1231D
o0002532	1231E
o0028066	12398
o0002531	1231F
o0002535	12320
o0002534	12321
o0000572	12322
o0000573	12323
o0002530	12325
o0000574	12326
o0000575	12327
o0000576	12328
o0002536	12329
o0000578	1232A
o0000585	1232B
o0002583	1232C
o0002584	1232D
o0002588	1232E
o0002591	1232F
o0002595	12330
o0002597	12331
o0002586	12332
o0002587	12333
o0002596	1253D
o0000588	12334
o0000587	1253C
o0000579	12335
o0000581	12336
o0000582	12337
o0002553	12338
o0002554	12339
o0002555	1233A
o0002556	1253E
o0002557	1233B
o0002563	1233C
o0002560	1233D
o0002561	1233E
o0002562	1233F
o0002564	12340
o0002565	12341
o0002566	12342
o0002567	12343
o0002568	12344
o0002569	12345
o0002570	1253F
o0002571	12346
o0002572	12347
o0002573	12348
o0002574	1234A
o0002579	12349
o0002576	1234B
o0002552	1234C
o0002577	1234D
o0002578	1234E
o0000583	12540
o0000584	1234F
o0002545	12350
o0000590	12445
o0000595	12351
o0002614	12352
o0002616	12353
o0002615	12354
o0002617	12355
o0000598	12357
o0000596	12358
o0000597	12356
o0000591	12359
o0000594	1235A
o0002602	1235B
o0000592	1235C
o0000603	1235D
o0000604	1235E
o0000607	12541
o0000605	12360
o0000608	12362
o0000609	12363
o0000613	12365
o0000870	12366
o0000611	12368
o0000612	12369
o0000614	1236A
o0002673	12542
o0000618	1236B
o0002680	1236C
o0002679	12543
o0000616	1236D
o0000617	1236E
o0000776	1201F
o0000105	12037
o0018530	124DB
o0001021	12499
o0001101	120A5
o0001107	12377
o0001248	120B9
o0001262	124BE
o0001615	1215E
o0001620	12160
o0001637	1216D
o0001649	12178
o0001672	12180
o0001660	12386
o0001829	121D8
o0001793	121DD
o0031506	124DA
o0000364	124EE
o0000374	124F1
o0000375	124F7
o0000386	124FD
o0027210	12504
o0000408	1250D
o0001884	12516
o0001978	12206
o0001929	12212
o0001917	12219
o0002049	1223A
o0002048	1223B
o0002050	1223C
o0018588	1238D
o0002089	1225B
o0000493	122D4
o0002127	12265
o0000298	121AE
o0031495	122A1
o0002733	12534
o0002529	12324
o0028113	12510
o0000589	12444
o0002666	12364
tcl8:e~a	F1000
tcl8:gara2~a	F1001
tcl8:ne~a	F1002
o0000656	F1003
o0000654	F1004
o0187959	F1005
o0000655	F1006
o0221926	F1007
o0027774	F1008
o0000658	F1009
o0000662	F100A
o0018529	F100B
o0000666	F100C
o0000664	F100D
o0000669	F100E
o0000670	F100F
o0000671	F1010
o0027762	F1011
o0000673	F1012
o0000683	F1013
o0000675	F1014
o0000681	F1015
o0000684	F1016
o0000685	F1017
o0000687	F1018
o0000686	F1019
o0027776	F101A
o0000688	F101B
o0000689	F101C
o0000690	F101D
o0000697	F101E
o0000691	F101F
o0000692	F1020
o0027778	F1021
o0000693	F1022
o0000700	F1023
o0000698	F1024
o0027780	F1025
o0021772	F1026
o0000704	F1027
o0000703	F1028
o0000702	F1029
o0000705	F102A
o0000706	F102B
o0000714	F102C
o0000715	F102D
o0000718	F102E
o0000717	F102F
o0000719	F1030
o0000721	F1031
o0000720	F1032
o0000735	F1033
o0000736	F1034
o0000737	F1035
o0000722	F1036
o0000723	F1037
o0000727	F1038
o0000730	F1039
o0027782	F103A
o0000734	F103B
