Q87556884	U+1241B
Q87556841	U+12405
Q87556855	U+1240C
Q87556921	U+12429
Q87556978	U+12441
Q87556982	U+12443
Q87556980	U+12442
Q87556830	U+12400
Q87556931	U+1242D
Q87556874	U+12416
Q87556891	U+1241F
Q87556949	U+12435
Q87556910	U+12423
Q87556997	U+1244A
Q87557010	U+12450
Q87557029	U+12459
Q87556870	U+12414
Q87556989	U+12446
Q87556993	U+12448
Q87556858	U+1240E
Q87556888	U+1241D
Q87556845	U+12407
Q87556926	U+1242B
Q87556990	U+12447
Q87556995	U+12449
Q87556848	U+12408
Q87556833	U+12401
Q87556876	U+12417
Q87556951	U+12436
Q87556954	U+12437
Q87556893	U+12420
Q87556914	U+12425
Q87556912	U+12424
Q87556934	U+1242F
Q87556932	U+1242E
Q87556963	U+1243B
Q87556961	U+1243A
Q87557012	U+12451
Q87557000	U+1244B
Q87556941	U+12432
Q87556943	U+12433
Q87557023	U+12456
Q87557025	U+12457
Q87556890	U+1241E
Q87556927	U+1242C
Q87557009	U+1244F
Q87556872	U+12415
Q87556945	U+12434
Q87557027	U+12458
Q87557041	U+1245A
Q87557042	U+1245B
Q87557044	U+1245C
Q87557046	U+1245D
Q87557048	U+1245E
Q87557050	U+1245F
Q87557052	U+12460
Q87557054	U+12461
Q87557055	U+12462
Q87557082	U+12470
Q87557084	U+12471
Q87557086	U+12472
Q87557088	U+12473
Q87557092	U+12480
Q87557094	U+12481
Q87557096	U+12482
Q87557098	U+12483
Q87557100	U+12484
Q87557103	U+12485
Q87557104	U+12486
Q87557106	U+12487
Q87557109	U+12488
Q87557111	U+12489
Q87557112	U+1248A
Q87557114	U+1248B
Q87557116	U+1248C
Q87557118	U+1248D
Q87557120	U+1248E
Q87557122	U+1248F
Q87557123	U+12490
Q87557125	U+12491
Q87557127	U+12492
Q87557128	U+12493
Q87557129	U+12494
Q87557130	U+12495
Q87557131	U+12496
Q87557132	U+12497
Q87557134	U+12498
Q87557135	U+12499
Q87557137	U+1249A
Q87557139	U+1249B
Q87557142	U+1249C
Q87557143	U+1249D
Q87557145	U+1249E
Q87557147	U+1249F
Q87557149	U+124A0
Q87557150	U+124A1
Q87557152	U+124A2
Q87557154	U+124A3
Q87557155	U+124A4
Q87557158	U+124A5
Q87557160	U+124A6
Q87557162	U+124A7
Q87557164	U+124A8
Q87557166	U+124A9
Q87557168	U+124AA
Q87557169	U+124AB
Q87557171	U+124AC
Q87557174	U+124AD
Q87557176	U+124AE
Q87557178	U+124AF
Q87557180	U+124B0
Q87557181	U+124B1
Q87557182	U+124B2
Q87557184	U+124B3
Q87557187	U+124B4
Q87557188	U+124B5
Q87557190	U+124B6
Q87557194	U+124B7
Q87557196	U+124B8
Q87557198	U+124B9
Q87557200	U+124BA
Q87557201	U+124BB
Q87557203	U+124BC
Q87557205	U+124BD
Q87557207	U+124BE
Q87557209	U+124BF
Q87557210	U+124C0
Q87557213	U+124C1
Q87557215	U+124C2
Q87557217	U+124C3
Q87557219	U+124C4
Q87557222	U+124C5
Q87557224	U+124C6
Q87557226	U+124C7
Q87557228	U+124C8
Q87557230	U+124C9
Q87557232	U+124CA
Q87557234	U+124CB
Q87557235	U+124CC
Q87557237	U+124CD
Q87557239	U+124CE
Q87557241	U+124CF
Q87557243	U+124D0
Q87557245	U+124D1
Q87557247	U+124D2
Q87557248	U+124D3
Q87557251	U+124D4
Q87557253	U+124D5
Q87557256	U+124D6
Q87557258	U+124D7
Q87557259	U+124D8
Q87557261	U+124D9
Q87557263	U+124DA
Q87557264	U+124DB
Q87557266	U+124DC
Q87557268	U+124DD
Q87557270	U+124DE
Q87557273	U+124DF
Q87557274	U+124E0
Q87557276	U+124E1
Q87557278	U+124E2
Q87557280	U+124E3
Q87557284	U+124E4
Q87557286	U+124E5
Q87557289	U+124E6
Q87557292	U+124E7
Q87557293	U+124E8
Q87557295	U+124E9
Q87557297	U+124EA
Q87557299	U+124EB
Q87557302	U+124EC
Q87557303	U+124ED
Q87557305	U+124EE
Q87557307	U+124EF
Q87557309	U+124F0
Q87557310	U+124F1
Q87557312	U+124F2
Q87557314	U+124F3
Q87557317	U+124F4
Q87557319	U+124F5
Q87557322	U+124F6
Q87557323	U+124F7
Q87557325	U+124F8
Q87557327	U+124F9
Q87557329	U+124FA
Q87557331	U+124FB
Q87557332	U+124FC
Q87557334	U+124FD
Q87557336	U+124FE
Q87557337	U+124FF
Q87557339	U+12500
Q87557342	U+12501
Q87557344	U+12502
Q87557345	U+12503
Q87557347	U+12504
Q87557349	U+12505
Q87557350	U+12506
Q87557353	U+12507
Q87557355	U+12508
Q87557358	U+12509
Q87557359	U+1250A
Q87557362	U+1250B
Q87557365	U+1250C
Q87557368	U+1250D
Q87557370	U+1250E
Q87557372	U+1250F
Q87557373	U+12510
Q87557377	U+12511
Q87557379	U+12512
Q87557381	U+12513
Q87557383	U+12514
Q87557384	U+12515
Q87557386	U+12516
Q87557388	U+12517
Q87557390	U+12518
Q87557392	U+12519
Q87557394	U+1251A
Q87557396	U+1251B
Q87557398	U+1251C
Q87557400	U+1251D
Q87557402	U+1251E
Q87557404	U+1251F
Q87557406	U+12520
Q87557408	U+12521
Q87557410	U+12522
Q87557411	U+12523
Q87557413	U+12524
Q87557416	U+12525
Q87557418	U+12526
Q87557420	U+12527
Q87557423	U+12528
Q87557425	U+12529
Q87557427	U+1252A
Q87557429	U+1252B
Q87557432	U+1252C
Q87557434	U+1252D
Q87557436	U+1252E
Q87557438	U+1252F
Q87557441	U+12530
Q87557443	U+12531
Q87557446	U+12532
Q87557448	U+12533
Q87557451	U+12534
Q87557452	U+12535
Q87557455	U+12536
Q87557458	U+12537
Q87557460	U+12538
Q87557462	U+12539
Q87557463	U+1253A
Q87557466	U+1253B
Q87557468	U+1253C
Q87557469	U+1253D
