id	sign_name	sign_reading	preferred_reading	period	provenience	language	meaning
580	NAGAR	ildux	1				
581	ILLAT	illat	1				"n. campaign"
582	|A.KAL|	illu	1				"n. high water, flood"
583	KAR2	ilx	1				
584	IM	im	1				"n. clay, tablet, wind?"
585	|ASZ2.A.AN|	imgaga	1				"n. spelt?"
586	|ASZ2.AN|	imgaga3	1				"n. spelt?"
587	IMIN	imin	1				"adj. seven"
588	|KAxUD|	imma	1				
589	SIG7	imma3	1				
590	TUR3	immalx	1				
591	|KA.UD|	immax	1				
592	IN	in	1				
593	MUSZ3	inanna	1				"dn. Inanna"
594	|NINDA2xGU4|	indagra	1				
595	KA	inim	1				"n. word, command, order, decree, oath"
596	IB	ip	1				
597	TUM	ip2	1				
598	IG	iq	1				
599	IR	ir	1				"n. perfume"
600	ARAD	ir3	1				"n. servant"
601	KASKAL	ir7	1				"n. pigeon"
602	URU	iri	1				"n. city"
603	GISZ	is	1				
604	GISZ	is,	1				
605	ISZ	is'	1				
606	ISZ	is2	1				
607	IN	isin2	1				"gn. Isin"
608	ISZ	isz	1				
609	LAM	isz12	1				
610	ME	iszib	1				"n. (incantation?) priest"
611	IM	iszkur	1				"dn. Iszkur"
612	|KA.DI|	isztaran	1				"dn. Isztaran"
613	A2	it	1				
614	A2	it,	1				
615	ITI	iti	1				"n. month"
616	A	ix	1				"n. waterway"
617	|A.SUG|	ix	1				"n. waterway"
618	|ENGUR.A|	ix	1				"n. waterway"
619	GISZ	iz	1				
620	NE	izi	1				"n. fire"
621	KA	ka	1				"n. mouth"
622	KA2	ka2	1				"n. gate"
623	GA	ka3	1				
624	LUL	ka5	1				"v. to lie?"
625	SZID	ka9	1				"v. to calculate"
626	KAB	kab	1				
627	NAG	kab2	1				
628	KAD2	kad2	1				
629	KAD3	kad3	1				
630	KAD4	kad4	1				
631	KAD5	kad5	1				
632	|NIG2.SZA3.A|	kadra	1				"n. gift"
633	|NIG2.SZA3|	kadra2	1				"n. gift"
634	GAG	kak	1				"n. nail"
635	KAL	kal	1				"adj. strength, precious"
636	GAL2	kal2	1				
637	UN	kalam	1				"n. (native) land; gn. Sumer"
638	KAM	kam	1				
639	KAR	kar	1				"n. embankment, harbor, marketplace?; v. to steal, to escape, to run away"
640	KAR2	kar2	1				"v. to be bright"
641	KAD4	kara4	1				
642	|(TIR.GAD.NIG2)@(TIR.GAD.NIG2)|	karadin	1				
643	|(PA.NIG2)@(PA.NIG2)|	karadin3	1				"n. haystack"
644	|(U.PA.NIG2)@(U.PA.NIG2)|	karadin5	1				"n. haystack"
645	IM	karkar	1				gn.
646	GAN2	karx	1				
647	TE	karx	1				
648	KASKAL	kas	1				"n. beer?"
649	BI	kas2	1				"n. beer?"
650	GAZ	kas3	1				
651	KASZ4	kas4	1				
652	KASKAL	kaskal	1				"n. road, expedition, caravan, journey"
