
174	(emeš)		U+1224A	CUNEIFORM SIGN NE TIMES UD
175	(enten)		U+12249	CUNEIFORM SIGN NE TIMES A
176	ninda2		U+12252	CUNEIFORM SIGN NINDA2
176'	šam3		U+12253	CUNEIFORM SIGN NINDA2 TIMES AN
181	uzu2		U+12259	CUNEIFORM SIGN NINDA2 TIMES NUN
181	uzu2		U+1236B	CUNEIFORM SIGN ZU5
181	ušbar		U+1236C	CUNEIFORM SIGN ZU5 TIMES A
181	ušbar		U+12330	CUNEIFORM SIGN UR2 TIMES NUN
182	(subar2)		U+122E8	CUNEIFORM SIGN SUMASH
183	ag2		U+12258	CUNEIFORM SIGN NINDA2 TIMES NE
185	ubudili		U+1225E	CUNEIFORM SIGN NINDA2 TIMES U2 PLUS ASH
185	uru7		U+12332	CUNEIFORM SIGN UR2 TIMES U2 PLUS ASH
187	sa10		U+1225A	CUNEIFORM SIGN NINDA2 TIMES SHE
187	šam2		U+1225B	CUNEIFORM SIGN NINDA2 TIMES SHE PLUS A AN
190	haš2		U+12368	CUNEIFORM SIGN ZIG
190h	galam		U+120F4	CUNEIFORM SIGN GALAM
191	kum		U+12123	CUNEIFORM SIGN GUM
192	gaz		U+12124	CUNEIFORM SIGN GUM TIMES SHE
194	(ešgal)		U+1200D	CUNEIFORM SIGN AB TIMES GAL
195	unu(g)		U+12014	CUNEIFORM SIGN AB TIMES U PLUS U PLUS U
195	unu(g)		U+12015	CUNEIFORM SIGN AB GUNU
196	unugi		U+12010	CUNEIFORM SIGN AB TIMES IGI GUNU
198	(agarin2)		U+1200E	CUNEIFORM SIGN AB TIMES GAN2 TENU
199	(agarin)		U+1200C	CUNEIFORM SIGN AB TIMES DUN3 GUNU
200	nina		U+1200F	CUNEIFORM SIGN AB TIMES HA
200	(ešemin4)		U+12011	CUNEIFORM SIGN AB TIMES IMIN
200	(zi4)		U+12013	CUNEIFORM SIGN AB TIMES SHESH
201	suhuš		U+1207C	CUNEIFORM SIGN DU GUNU
202	gir5		U+1207D	CUNEIFORM SIGN DU SHESHIG
203	ur2		U+1232B	CUNEIFORM SIGN UR2
205	il		U+1214B	CUNEIFORM SIGN IL
206	du		U+1207A	CUNEIFORM SIGN DU
206a	lah4		U+1207B	CUNEIFORM SIGN DU OVER DU
207	ib2		U+12308	CUNEIFORM SIGN TUM
208	anše		U+12032	CUNEIFORM SIGN ANSHE
208	anše		U+1210F	CUNEIFORM SIGN GIR3 TIMES PA
209	egir		U+12095	CUNEIFORM SIGN EGIR
210	geštin		U+120FE	CUNEIFORM SIGN GESHTIN
211	giš3		U+12351	CUNEIFORM SIGN USH
211a	kaš3		U+12352	CUNEIFORM SIGN USH TIMES A
212	sahar		U+12156	CUNEIFORM SIGN ISH
214	kaš		U+12049	CUNEIFORM SIGN BI
214	2(EŠE3)		U+12459	CUNEIFORM NUMERIC SIGN TWO ESHE3
215	šem		U+122C6	CUNEIFORM SIGN SHIM
216	(šembulug2)		U+122D0	CUNEIFORM SIGN SHIM TIMES MUG
217	(šembulug4)		U+122C8	CUNEIFORM SIGN SHIM TIMES BAL
218	(šemkaš?)		U+122CD	CUNEIFORM SIGN SHIM TIMES IGI GUNU
219	(šaqa2)		U+122CF	CUNEIFORM SIGN SHIM TIMES LUL
220	(šembulug3)		U+122CC	CUNEIFORM SIGN SHIM TIMES IGI
221	(nug2)		U+122CA	CUNEIFORM SIGN SHIM TIMES DIN
222	(šemešal)		U+122D1	CUNEIFORM SIGN SHIM TIMES SAL
224	dumgal		U+122C7	CUNEIFORM SIGN SHIM TIMES A
225	bappir		U+122CB	CUNEIFORM SIGN SHIM TIMES GAR
226	gisal		U+12110	CUNEIFORM SIGN GISAL
227	(banšur2)		U+12143	CUNEIFORM SIGN IDIM OVER IDIM BUR
228	kib		U+12112	CUNEIFORM SIGN GISH CROSSING GISH
229	za2		U+120FA	CUNEIFORM SIGN GAN2 CROSSING GAN2
