MesZL	KWU	Characterqid	Character
		Q122914779	CUNEIFORM SIGN LAL TIMES LAGAB (𒇲 × 𒆸)
		Q122925330	CUNEIFORM SIGN LAL.NI (𒇲 & 𒉌)
		Q122925353	CUNEIFORM SIGN LAL.SAR (𒇲 & 𒊬)
		Q121512050	CUNEIFORM SIGN LAL2 TIMES DU (𒇳 × 𒁺)
		Q123165568	CUNEIFORM SIGN LAL2 TIMES EZEN (𒇳 × 𒂡)
		Q121512291	CUNEIFORM SIGN LAL2 TIMES LAGAB (𒇳 × 𒆸)
		Q121512192	CUNEIFORM SIGN LAL2 TIMES SAR (𒇳 × 𒊬)
849		Q120349239	CUNEIFORM SIGN LAL2 VARIANT (𒑖 & 𒉽)
732	567	Q120303163	CUNEIFORM SIGN LIBIR (𒅆 & 𒂠)
879		Q120351811	CUNEIFORM SIGN LIL3 (𒋙 & 𒌍)
874		Q120351274	CUNEIFORM SIGN LIL5 (𒋙 & 𒉈)
		Q121510846	CUNEIFORM SIGN LU2 SHESHIG GUNU (𒈕@sg)
		Q123159640	CUNEIFORM SIGN LU2 TIMES GESHTU (𒇽 × 𒉿)
903		Q120353698	CUNEIFORM SIGN LUM OVER LUM & SHU2 (𒈞 & 𒋙)
		Q123159645	CUNEIFORM SIGN MA TIMES A (𒈠 × 𒀀)
		Q123159652	CUNEIFORM SIGN MAH TIMES GUKKAL (𒈤 × (𒇻 & 𒄾))
		Q123159660	CUNEIFORM SIGN MAH TIMES HA (𒈤 × 𒄩)
		Q123159665	CUNEIFORM SIGN MAH TIMES MASH (𒈤 × 𒈦)
		Q123159750	CUNEIFORM SIGN MAH TIMES SAL (𒈤 × 𒊩)
		Q123227218	CUNEIFORM SIGN MAH TIMES SILA3 TIMES UMBIN (𒈤 × 𒋡 × 𒌢)
		Q123159759	CUNEIFORM SIGN MAH TIMES TUG2 (𒈤 × 𒌆)
		Q123159799	CUNEIFORM SIGN MAH TIMES UD5 (𒈤 × 𒍚)
		Q123159837	CUNEIFORM SIGN MAH TIMES UR (𒈤 × 𒌨)
		Q123159862	CUNEIFORM SIGN MAH TIMES UTUA (𒈤 × 𒁭)
		Q123227274	CUNEIFORM SIGN MAR TIMES LAGAB TIMES SHE3 (𒈥 × 𒆸 × 𒂠)
		Q123159889	CUNEIFORM SIGN MAR TIMES SHE (𒈥 × 𒊺)
		Q123227319	CUNEIFORM SIGN MASH.GAN2 (𒈦 & 𒃷)
126		Q120270029	CUNEIFORM SIGN MASH.MAN (𒈦 & 𒎙)
		Q122933330	CUNEIFORM SIGN MASH2 GUNU (𒈧@g)
		Q122434048	CUNEIFORM SIGN MASHKIM (𒉺 & 𒁽)
214		Q120271934	CUNEIFORM SIGN MEGIDDA2 (𒋰 & 𒆲)
831		Q120348147	CUNEIFORM SIGN MIN & U U U (𒈫 & 𒌍)
137	112	Q120270213	CUNEIFORM SIGN MUD (𒄷 & 𒄭)
		Q123159919	CUNEIFORM SIGN MUD3 GUNU (𒉯@g)
823		Q120306085	CUNEIFORM SIGN MUNSHUB2 (𒋁 & 𒋦)
		Q121511782	CUNEIFORM SIGN MUNUS & TUK (𒊩 & 𒌇)
895		Q120353112	CUNEIFORM SIGN MUNUS.LAGAR (𒊩 & 𒇬)
		Q122923551	CUNEIFORM SIGN MURUB2 GUNU
		Q123302167	CUNEIFORM SIGN MURUB3 (𒂗 × 𒈨 × 𒇬)
		Q123088664	CUNEIFORM SIGN MUSSA (𒊩 & 𒍑 & 𒁲)
		Q123270885	CUNEIFORM SIGN N-1
		Q123271027	CUNEIFORM SIGN N-1 GUNU
		Q123271425	CUNEIFORM SIGN N-10
		Q123271505	CUNEIFORM SIGN N-11
		Q123271647	CUNEIFORM SIGN N-12
		Q123271658	CUNEIFORM SIGN N-13
		Q123271668	CUNEIFORM SIGN N-14
		Q123273483	CUNEIFORM SIGN N-14 GUNU
		Q123271697	CUNEIFORM SIGN N-15
		Q123273421	CUNEIFORM SIGN N-16
		Q123273424	CUNEIFORM SIGN N-17
		Q123273436	CUNEIFORM SIGN N-18
		Q123273446	CUNEIFORM SIGN N-19
		Q123270916	CUNEIFORM SIGN N-2
		Q123273467	CUNEIFORM SIGN N-20
		Q123273500	CUNEIFORM SIGN N-22
		Q123273528	CUNEIFORM SIGN N-24
		Q123273539	CUNEIFORM SIGN N-25
		Q123273545	CUNEIFORM SIGN N-26
		Q123273550	CUNEIFORM SIGN N-27
		Q123273559	CUNEIFORM SIGN N-28
