Q87556225	o0002123
Q87556227	o0000547 o0002122
Q87556229	o0002121
Q87556231	o0000490 o0002156
Q87556233	o0002146
Q87556235	o0002147
Q87556238	o0002148
Q87556239	o0002149
Q87556242	o0002150
Q87556244	o0002151
Q87556246	o0002152
Q87556248	o0002153
Q87556250	o0002154
Q87556252	o0001856
Q87556254	o0002147
Q87556256	o0002161
Q87556257	o0000497
Q87556259	o0000498
Q87556261	o0000499
Q87556262	o0000500
Q87556264	o0000501 o0032007
Q87556267	o0000502
Q87556269	o0000502 o0002247
Q87556270	o0000502 o0002246
Q87556272	o0000502 o0002248
Q87556274	o0000502 o0002249
Q87556275	o0000502 o0002250
Q87556277	o0000502 o0002252
Q87556279	o0000502 o0002251
Q87556282	o0000502 o0002253
Q87556284	o0000502 o0002235
Q87556286	o0000502
Q87556288	o0000503 o0025860
Q87556289	o0002243
Q87556291	o0002244
Q87556293	o0002245
Q87556295	o0000215 o0002242
Q87556297	o0000510
Q87556298	o0000511
Q87556300	o0000514
Q87556302	o0000516
Q87556305	o0000517
Q87556306	o0000520
Q87556308	o0000518
Q87556309	o0002272
Q87556311	o0002274
Q87556313	o0000518
Q87556315	o0002277
Q87556316	o0002279
Q87556318	o0000518
Q87556320	o0002281
Q87556322	o0002282
Q87556323	o0002283
Q87556325	o0002284
Q87556327	o0002293
Q87556329	o0000518
Q87556331	o0002292
Q87556333	o0002287
Q87556335	o0002288
Q87556337	o0002289
Q87556339	o0002291
Q87556342	o0002263
Q87556344	o0000519
Q87556346	o0000522
Q87556347	o0000393 o0000617 o0002309
Q87556349	o0000523 o0001527
Q87556352	o0000524
Q87556353	o0002824
Q87556356	o0002828
Q87556358	o0002695
Q87556360	o0002696
Q87556361	o0002697
Q87556363	o0002698
Q87556365	o0002703
Q87556366	o0002701
Q87556368	o0002702
Q87556370	o0002694
Q87556372	o0002829
Q87556375	o0000242
Q87556376	o0002827
Q87556378	o0002831
Q87556380	o0002714
Q87556382	o0002705
Q87556384	o0002708
Q87556385	o0000341 o0002832
Q87556387	o0002833
Q87556389	o0002834
Q87556391	o0002836
Q87556393	o0002835
Q87556395	o0002837
Q87556397	o0002743
Q87556398	o0002744
Q87556400	o0002838
Q87556402	o0002748
Q87556404	o0002749
Q87556405	o0002750
Q87556407	o0002751
Q87556408	o0002752
Q87556410	o0002754
Q87556412	o0002753
Q87556414	o0002755
Q87556415	o0002756
Q87556417	o0002757
Q87556419	o0002759
Q87556420	o0002839
Q87556422	o0000491 o0002840
Q87556424	o0000493
Q87556426	o0002840
Q87556427	o0002842
Q87556429	o0002845
Q87556431	o0002764 o0002845
Q87556433	o0002850
Q87556435	o0002848
Q87556437	o0000525
Q87556439	o0000526
Q87556442	o0000527
Q87556443	o0000528
Q87556445	o0002344
Q87556447	o0000529
Q87556449	o0000530
Q87556450	o0000531
Q87556455	o0000532
Q87556457	o0000534
Q87556460	o0000535
Q87556461	o0000536
Q87556465	o0000537
Q87556466	o0000539
Q87556468	o0000540
Q87556470	o0000541
Q87556471	o0000543
Q87556473	o0002407
Q87556475	o0002408
Q87556477	o0000541 o0000542
Q87556478	o0000544
Q87556480	o0002382
Q87556484	o0000546
Q87556487	o0002396
Q87556488	o0000546
Q87556489	o0002399 o0002401
Q87556490	o0000546 o0002398
Q87556491	o0002399
Q87556492	o0000547
Q87556493	o0000548
Q87556494	o0000550
Q87556495	o0000551
Q87556496	o0000554
Q87556498	o0000554
Q87556501	o0000005
Q87556503	o0002726
Q87556504	o0002726
Q87556506	o0000639 o0002726
Q87556508	o0000635
Q87556511	o0000556
Q87556512	o0000557
Q87556515	o0000558
Q87556517	o0000559
Q87556519	o0000560
Q87556520	o0002431
Q87556522	o0000561
Q87556524	o0002459
Q87556527	o0002471
Q87556530	o0002441
Q87556531	o0002442
Q87556534	o0002444
Q87556536	o0000599
Q87556538	o0000564
Q87556540	o0000565
Q87556541	o0002500
Q87556544	o0000565
Q87556546	o0002522
Q87556548	o0002520 o0223330
Q87556549	o0000462
Q87556552	o0000462 o0038409
Q87556556	o0002516
Q87556558	o0000570
Q87556559	o0000571
Q87556563	o0002531
Q87556565	o0031584
Q87556568	o0002534
Q87556570	o0000572
Q87556573	o0000573 o0036120
Q87556575	o0000138
Q87556577	o0000573 o0002530
Q87556578	o0000574 o0000575
Q87556580	o0000574 o0000575
Q87556582	o0000576
Q87556584	o0002536
Q87556586	o0000578
Q87556588	o0000585
Q87556591	o0002583
Q87556594	o0000585
Q87556596	o0002588
Q87556599	o0002591
Q87556601	o0002595
Q87556603	o0002597
Q87556606	o0002586
Q87556607	o0000585
Q87556610	o0000588
Q87556612	o0000579
Q87556614	o0000581 o0002834
Q87556617	o0000582
Q87556618	o0002553
Q87556623	o0002555
Q87556628	o0002563
Q87556631	o0002561
Q87556634	o0002562
Q87556636	o0002564
Q87556638	o0002553
Q87556640	o0002566
Q87556650	o0002572
Q87556660	o0002576
Q87556666	o0000582 o0001884 o0002578
Q87556667	o0000584
Q87556670	o0002545
Q87556672	o0000595
Q87556673	o0002614
Q87556675	o0002616
Q87556677	o0000595
Q87556679	o0002617
Q87556683	o0000597
Q87556685	o0000114
Q87556689	o0000591
Q87556692	o0000594
Q87556695	o0002602
Q87556696	o0000592
Q87556699	o0000603
Q87556700	o0000604
Q87556702	o0000619
Q87556705	o0000605
Q87556708	o0000172
Q87556711	o0000608
Q87556712	o0000609
Q87556715	o0002666
Q87556719	o0000870
Q87556721	o0000869 o0000870
Q87556723	o0000611
Q87556726	o0000024 o0000110 o0000612
Q87556728	o0000614
Q87556729	o0002111 o0002680
Q87556731	o0002111 o0002680
Q87556733	o0000616
Q87556735	o0000617
Q87556738	o0000754
Q87556741	o0032011
Q87556743	o0032013
Q87556748	o0032005
Q87556751	o0000557 o0032017
Q87556752	o0025700
Q87556754	o0001107
Q87556761	o0001321 o0002536
Q87556763	o0000209
Q87556765	o0000212
Q87556767	o0001444
Q87556771	o0001608
Q87556773	o0001633
Q87556780	o0001646
Q87556782	o0001652
Q87556789	o0001665
Q87556791	o0032025
Q87556799	o0002011
Q87556803	o0002079
Q87556818	o0032009
Q87556822	o0027220
Q87556824	o0028066
Q87556828	o0002475
Q87556833	o0000020
Q87556835	o0000034
Q87556838	o0000047
Q87556840	o0000059
Q87556841	o0000066
Q87556843	o0000074
Q87556845	o0000079
Q87556848	o0000027
Q87556851	o0000052
Q87556853	o0000062
Q87556855	o0000068
Q87556857	o0000075
Q87556861	o0000043 o0002444
Q87556863	o0000055
Q87556865	o0000064
Q87556867	o0000072
Q87556868	o0000077
Q87556870	o0000085
Q87556927	o0000008
Q87556931	o0000018
Q87556932	o0000030
Q87556934	o0000030
Q87556936	o0000045
Q87556939	o0000057
Q87556941	o0002681
Q87556943	o0002682
Q87556945	o0000562
Q87556961	o0000859
Q87556963	o0000023
Q87556965	o0000427
Q87556968	o0000036
Q87556974	o0000060 o0000061
Q87556978	o0000067
Q87556980	o0000068
Q87556982	o0025651
Q87556984	o0000589
Q87556986	o0000590
Q87556989	o0000080 o0000250
Q87556990	o0000081
Q87556993	o0000082
Q87556995	o0000083
Q87556997	o0000010
Q87557000	o0000021
Q87557002	o0000604
Q87557009	o0000003
Q87557010	o0000011
Q87557012	o0000024 o0000110
Q87557016	o0000037
Q87557017	o0000037 o0000038
Q87557019	o0000049
Q87557022	o0000049 o0000050
Q87557023	o0000481
Q87557025	o0000480
Q87557027	o0000005
Q87557029	o0000015
Q87557041	o0002849
Q87557042	o0002826
Q87557044	o0000283
Q87557050	o0002816
Q87557054	o0000185
Q87557055	o0000186
Q87557084	o0000506
Q87557100	o0000898
Q87557135	o0001020
Q87557137	o0001021
Q87557158	o0001030
Q87557169	o0001086
Q87557194	o0001293
Q87557207	o0018533
Q87557222	o0001272
Q87557234	o0001405
Q87557245	o0028113
Q87557280	o0000326
Q87557289	o0000440
Q87557297	o0000355
Q87557305	o0000364
Q87557307	o0000368
Q87557310	o0002142
Q87557312	o0001857 o0027620
Q87557319	o0001855
Q87557322	o0001856
Q87557325	o0000377
Q87557327	o0000380
Q87557331	o0000384
Q87557332	o0000385
Q87557334	o0000386
Q87557342	o0000403
Q87557344	o0001865
Q87557345	o0001866
Q87557350	o0001868
Q87557386	o0001884
Q87557390	o0000415
Q87557392	o0001955
Q87557404	o0002015
Q87557463	o0002429
Q87557481	o0002673
